cv_cid,course_pretitle,course_title,course_description
USIS5STDNOBQGGHXDDG7,TRC.2016 (2016/1),การควบคุมยาสูบ รุ่นที่ 4,
ODRCRDFROFTNYRC0PQU2,CU.MOOC.0001 (2016/2),Survival Thai,"<p>This <strong>Survival Thai</strong> course aims at teaching the Thai language and culture at a basic level to students and those who are interested. It consists of 14 lessons classified into 4 groups, with a focus on the spoken language used in everyday life.</p><p>Each lesson presents vocabulary, a role-play conversation and an explanation by the instructor. A simplified phonetic transcription system is used to represent the sounds of consonants, vowels and tones in spoken Thai. The system should help learners to understand and to practice pronunciation more easily and with consistency throughout the whole course.</p>"
9W16HUAN3F0LB16BN1QC,TRC.ELearning (2017/1),การควบคุมยาสูบ รุ่นที่ 5,
NTFBS3C5O5HPWTX9B8YJ,CU.MOOC.0002 (2017/1),ภาษาอาหรับในชีวิตประจำวัน,รายวิชาภาษาอาหรับในชีวิตประจำวัน จะเป็นการศึกษาเกี่ยวกับการทักทายและการแนะนำตัว ในรูปแบบต่างๆ ตามสถานการณ์  การสนทนา โดยจะแบ่งการสนทนา ออกเป็น 4 แบบ ได้แก่ เกี่ยวกับบุคคลเกี่ยวกับสิ่งของ  เกี่ยวกับตัวเลขและเวลา  และเกี่ยวกับสถานที่  โดยจะมีบทสนทนาถาม ตอบคำถาม การบรรยายลักษณะ  การนำมาใช้ในชีวิตประจำวัน  การใช้กริยาคำสั่งและการขอร้อง  สุดท้ายจะพูดถึงการแสดงความเห็นและความรู้สึก
P074WP7NLCCMPJ200PE8,CU.MOOC.0003 (2017/1),การทำความเข้าใจงบการเงิน,รายวิชาการทำความเข้าใจงบการเงิน จะเป็นการศึกษาเกี่ยวกับองค์ประกอบของงบการเงิน ได้แก่ งบแสดงฐานะการเงิน งบกำไรขาดทุนเบ็ดเสร็จ งบกระแสเงินสด และงบแสดงการเปลี่ยนแปลงในส่วนของเจ้าของ รายการในงบแสดงฐานะการเงิน งบกำไรขาดทุนเบ็ดเสร็จ งบกระแสเงินสด และงบแสดงการเปลี่ยนแปลงในส่วนของเจ้าของ ประโยชน์ของแต่ละงบการเงิน ความสัมพันธ์ของงบกำไรขาดทุนเบ็ดเสร็จ งบแสดงฐานะการเงิน และงบกระแสเงินสด
5XHLA2Y7H0QLFD1DWNY8,CU.MOOC.004 (2017/1),การตลาดในศตวรรษที่ 21,รายวิชาการตลาดในศตวรรษที่ 21 จะเป็นการศึกษาเกี่ยวกับนิยามของการตลาด แนวคิดหลักเกี่ยวกับการตลาดตั้งแต่อดีตจนถึงปัจจุบัน และการตลาดแบบองค์รวม (Holistic Marketing) ซึ่งเป็นสิ่งที่สำคัญสำหรับการตลาดในทศวรรษที่ 21
2HY2YXY2OE3GY4BA6VYY,CU.MOOC.0001 (2017/1),Survival Thai (Class of 2017),"<p>This <strong>Survival Thai</strong> course aims at teaching the Thai language and culture at a basic level to students and those who are interested. It consists of 14 lessons classified into 4 groups, with a focus on the spoken language used in everyday life.</p><p>Each lesson presents vocabulary, a role-play conversation and an explanation by the instructor. A simplified phonetic transcription system is used to represent the sounds of consonants, vowels and tones in spoken Thai. The system should help learners to understand and to practice pronunciation more easily and with consistency throughout the whole course.</p>"
TC9PB66AVX3R5DS5TQMZ,CU.MOOC.0002.2 (2017/1),ภาษาอาหรับในชีวิตประจำวัน (รุ่นที่ 1),รายวิชาภาษาอาหรับในชีวิตประจำวัน จะเป็นการศึกษาเกี่ยวกับการทักทายและการแนะนำตัว ในรูปแบบต่างๆ ตามสถานการณ์  การสนทนา โดยจะแบ่งการสนทนา ออกเป็น 4 แบบ ได้แก่ เกี่ยวกับบุคคลเกี่ยวกับสิ่งของ  เกี่ยวกับตัวเลขและเวลา  และเกี่ยวกับสถานที่  โดยจะมีบทสนทนาถาม ตอบคำถาม การบรรยายลักษณะ  การนำมาใช้ในชีวิตประจำวัน  การใช้กริยาคำสั่งและการขอร้อง  สุดท้ายจะพูดถึงการแสดงความเห็นและความรู้สึก
TJ39ZYUZ7HNE371LMWF0,CU.MOOC.0005 (2017/1),English for Careers I: For Hotel Staff,<h3>เกี่ยวกับรายวิชา</h3><p>รายวิชา English for Careers I : For Hotel Staff จะเป็นการศึกษาเกี่ยวกับบทสนทนา คำศัพท์ และสำนวนที่เกี่ยวกับพนักงานโรงแรม</p><h3>วัตถุประสงค์</h3><p>เพื่อให้ผู้เรียนสามารถฝึกฝนและพัฒนาทักษะด้านการสื่อสารภาษาอังกฤษ และสามารถนำไปใช้ได้ในชีวิตประจำวัน และการประกอบอาชีพต่างๆ</p><p style='font-size:0.5em'>Cover adapted from Ian Schneider on Unsplash</p>
0TLKWF3A315ALPAUIU1M,CU.MOOC.0006 (2017/1),English for Careers I​I: For Restaurant Staff,<h3>เกี่ยวกับรายวิชา</h3><p>รายวิชา English for Careers II : For Restaurant staff จะเป็นการศึกษาเกี่ยวกับบทสนทนา คำศัพท์ และสำนวนที่เกี่ยวกับพนักงานร้านอาหาร</p><h3>วัตถุประสงค์</h3><p>เพื่อให้ผู้เรียนสามารถฝึกฝนและพัฒนาทักษะด้านการสื่อสารภาษาอังกฤษ และสามารถนำไปใช้ได้ในชีวิตประจำวัน และการประกอบอาชีพต่างๆ</p><p style='font-size:0.5em'>Cover adapted from Ian Schneider on Unsplash</p>
E03Q8Y0SELQE6KZQST0A,CU.MOOC.0007 (2017/1),Critical Thinking for Business,<h3>เกี่ยวกับรายวิชา</h3><p>รายวิชา Critical Thinking for Business จะเป็นการศึกษาเกี่ยวกับแนวคิด Paradigm and critical Thinking  Socratic Method  Thinking about Thinking  และนำเสนอกรณีศึกษาเกี่ยวกับกระบวนการคิดในรูปแบบต่าง ๆ</p><h3>วัตถุประสงค์</h3><ol><li>เพื่อให้ผู้เรียนสามารถทราบแนวคิด และเทคนิค รวมถึงวิธีการคิดแบบ Critical Thinking</li><li>เพื่อให้ผู้เรียนเป็นผู้ที่สามารถคิดเป็น ทำเป็น และแก้ปัญหาเป็นระเบียบเพิ่มมากขึ้น</li><li>เพื่อให้ผู้เรียนเป็นผู้ที่มีความคิดอย่างละเอียด และสามารถนำไปปรับใช้ในการเรียน การทำงาน และชีวิตประจำวัน </li></ol><p style='font-size:0.5em'>Cover adapted from Steven Ramon on Unsplash</p>
